630703,Kampeer-tentoonstelling,De kampeertentoonstelling Goed Kamp in Den Haag; met oa een bungalowtent; een tent volgens paraplu-principe; een uittrekbare caravan en een kampeertent in een doos die op een auto geplaatst kan worden.
624436,De wereld rond met een rollende ton,Curieus: Man; sportief gekleed; duwt rollende ton (opschrift Van Vollenhoven Bieren) voort over rustige landweg. (Ook op slapsticksnelheid weergegeven). Kennelijk recordpoging of reclamestunt.
28984,Manoeuvres van de Koninklijke Nederlandse Marine,De Koninklijke Nederlandse Marine oefent op de Noordzee. SHOTS: oorlogsschepen op zee; div. details van ext. oorlogsschip; div. scheepsofficieren oa op de brug; div. matrozen: schrobben dek; pellen spruitjes(?) af; bedienen scheepsgeschut; brengen sloep uit; scheepsofficier proeft het eten van de manschappen; 00:43 en 00:49 en 01:24 cu Schout bij Nacht T.L Kruijs; commandant van de Marine.
638618,Open Beelden (Nederlandse versie),Open Beelden is een open mediaplatform dat toegang biedt tot audiovisuele collecties die eenvoudig hergebruikt kunnen worden. Werken uit deze audiovisuele collecties mogen geremixt worden in nieuwe werken. Gebruikers van Open Beelden kunnen dit nieuwe materiaal vervolgens weer toevoegen aan het platform en daarmee deze beeldbank verder uitbreiden.Op Open Beelden zijn momenteel ruim 2.000 Polygoonitems afkomstig uit het archief van Beeld en Geluid te vinden. Naast de collectie van Beeld en Geluid herbergt Open Beelden portals voor collecties van o.a. de VPRO; het EYE filmmuseum en de Universiteit van Amsterdam.  De collectie groeit continue en er worden wekelijks nieuwe video’s aan Open Beelden toegevoegd. De toegang tot het materiaal op Open Beelden is gebaseerd op het Creative Commons-licentiemodel. Dit biedt makers van audiovisuele werken de vrijheid om op een flexibele manier met hun auteursrechten om te gaan en hun werken online beschikbaar te stellen voor diverse vormen van hergebruik. Deze ‘open’ benadering wordt ook in de techniek van het platform doorgevoerd door gebruik te maken van open formaten; standaarden; software en een API. Deze open infrastructuur draagt bij aan grootschalig hergebruik van het materiaal op Open Beelden; bijvoorbeeld binnen Wikipedia. Open Beelden is een initiatief van het Nederlands Instituut voor Beeld en Geluid in samenwerking met Kennisland.     Credits: Regie; montage en audio: Sebastiaan ter Burg. Deze video is geproduceerd door het  Nederlands Instituut voor Beeld en Geluid in samenwerking met  Kennisland; in het kader van het grootschalige digitaliseringsproject  Beelden voor de Toekomst. Beeld en Geluid herbergt ruim 800.000 uur aan radio; televisie; film en muziek van 1898 tot nu; en maakt zijn collecties toegankelijk voor uiteenlopende doelgroepen; waaronder mediaprofessionals; creatieve sector; onderwijs en het algemeen publiek. Kennisland werkt aan maatschappelijke vernieuwing en doet onderzoek; geeft advies en ontwikkelt interventies voor een sterke kennissamenleving. Beeld en Geluid en Kennisland zijn beide partner in Beelden voor de Toekomst; een grootschalig digitaliseringsproject waarbinnen vier instellingen een belangrijk deel van het audiovisueel erfgoed van Nederland redden door conservering en digitalisering. Het gedigitaliseerde materiaal komt zo breed mogelijk beschikbaar voor onderwijs en het publiek.
630200,Kinderspel,Spelende kinderen op straat spelen "oorlogje" en doen kinderspelen. SHOTS: - spelende kinderen (steppen; voetballen met kleine bal; haasje over; tollen; knikkeren; touwtje springen; ijshockey en schaatsen); - kinderen op straat spelen soldaatje met nagemaakte wapens; waarbij ze op passerend verkeer schieten en een geraakte "soldaat" afvoeren. Aantekening : "Wat voor de groten ernst is; is nu nog voor de jeugd 'n spel."
618242,Hondenvoetbal,In een circusarena spelen honden een soort voetbal met een luchtballonnetje.
615283,Wedstrijd van vliegtuigmodellen,Op het vliegveld Ypenburg worden wedstrijden gehouden met vliegtuigmodellen. SHOTS: - Jongens; sommigen in uniform van luchtverkenner(?); anderen in burger; zitten/staan in het gras aan hun vliegtuigen te prutsen; - div. zweefmodellen worden in de lucht gebracht; - een model met een benzinemotor wordt gestart en vliegt mbv lijnbesturing een rondje.
630091,Kinderspelen,Kinderen spelen op het strand van Scheveningen.
621669,Spannende skelterraces,Nationale skelterraces in Ermelo. De wedstrijd 50cc met Theo Koks uit Haarlem en Jan Jacobs uit Zandvoort; wordt door Boeschoten uit Doorn gewonnen. De wedstrijd 200cc met Beusek uit Almen; wordt door Spaay uit Zwolle gewonnen.
626032,Waterloper verbaast scheepvaart; loopt op friese meren en kanalen,Uitvinder Pieter Mulder heeft een soort houten waterschoenen ontwikkeld; waardoor het mogelijk is om over het water te lopen. SHOTS: man loopt in waterschoenen over het water; passeert een pleziervaartuig en loopt onder de brug over de nieuwe vaart in Terwispel door; alwaar hij tolgeld moet betalen; Pieter Mulder.
2946,Zandbouwwedstrijd op het strand,Kinderen houden zandbouwwedstrijden op het strand van Zandvoort.
1095,Ons drinkwater bedreigd door toenemende vervuiling van rivieren,Op de beurs Aquatech '76 in de RAI in Amsterdam; presenteren fabrikanten apparaten en middelen ter zuivering van water; dat steeds meer vervuild raakt. SHOTS: verrottingsgassen stijgen op uit afvalwater; overzicht beursvloer Aquatech; afvalwater in gootsteen; lozing van afvalwater in rivieren bij fabrieken; waterzuiveringsinstallatie; luchtshots van de rivier de Rijn en opvangbekkens voor overtollig rivierwater.
616277,Brandweerwedstrijden,Op een voetbalveld in de omgeving van Eindhoven spelen een aantal spuitgasten spuitbal met brandweerslangen. Een zgn. "cameraman" (van Polygoon?); die zich op het veld heeft gewaagd; wordt meedogenloos weggespoten. Aantekening : Titel en beelden corresponderen totaal niet met elkaar. Uit de tekst van het commentaar blijkt echter dat dit item oorspronkelijk veel uitgebreider moet zijn geweest en dat er; zoals ook in de titel aangegeven; sprake zal zijn geweest van beelden van echte brandweerdemonstraties die waarschijnlijk zullen zijn afgesloten met een komische toegift. Alleen deze laatste is echter kennelijk bewaard gebleven.
621357,Olympisch springruiterfestival,In het Kralingse Bos in Rotterdam is een alternatieve Olympische wedstrijd voor springruiters gehouden; die niet zijn afgevaardigd naar de Olympische Spelen in Moskou. SHOTS: Nederlandse springruiter Rob Ehrens valt van zijn paard na het verkeerd nemen van een hindernis; Canadese ruiter James Elder maakt een fout en valt bijna; Zwitser Gabathuler; Fransman De Balanda; Engelsman John Whitaker en Amerikaanse Melanie Smith maken fouten bij het nemen van hindernissen; Oostenrijker Hugo Simon op Gladstone wint de hoofdprijs.
43555,Transport van huis,Een houten huis uit 1870 wordt onder het toeziend oog van meisjes uit de Zaandijkse industrie op een speciale vrachtwagen verplaatst naar de Zaanse Schans; omdat het moet wijken voor de industrie.
621300,Schaak simultaan seance,Wedstrijd simultaan schaken in het Groothandelsgebouw te Rotterdam; waarbij de schakers Viktor Kortsjnoi uit de USSR; zijn landgenoot Michail Tal; Jan Hein Donner en Caissa wedstrijden spelen tegen 175 deelnemers. Kortsjnoi verliest één partij tegen Peen uit Rotterdam.
160092,Kattenshow,Kattententoonstelling in Eindhoven. De Perzische kater Terry van Al-Wi-Palyap wordt eerste bij de langharigen.
